method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,10.0,heading_mae_deg,ed_mean_deg,10,-0.8181818181818182,-0.9876543209876544,-0.27499999999999997,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",heading,10.0,dtheta_p95_deg,fd_max_deg,10,-0.2727272727272727,-0.8867924528301887,0.5031055900621119,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,ate_m,pct_matched,10,0.18787878787878787,-0.5512820512820513,0.8101265822784811,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,rpe10_m,pct_matched,10,-0.6121212121212121,-0.9240506329113924,0.0588235294117647,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,dp_p95_m,pct_matched,10,0.19999999999999998,-0.5286624203821656,0.8148148148148148,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,ate_m,ed_mean_m,10,-0.10303030303030303,-0.7721518987341772,0.8,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,ate_m,fd_max_m,10,-0.09090909090909088,-0.764705882352941,0.7961783439490446,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,rpe10_m,ed_mean_m,10,0.18787878787878787,-0.5512820512820513,0.7324840764331212,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.25,dp_p95_m,fd_max_m,10,-0.04242424242424241,-0.7361723856209148,0.8404907975460123,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,ate_m,pct_matched,10,0.49090909090909085,-0.3461538461538462,0.9875795567824551,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,rpe10_m,pct_matched,10,0.0303030303030303,-0.6981132075471699,0.6363636363636362,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,dp_p95_m,pct_matched,10,0.5151515151515151,-0.32911392405063294,1.0,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,ate_m,ed_mean_m,10,0.05454545454545454,-0.5925925925925926,0.6556291390728477,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,ate_m,fd_max_m,10,-0.24848484848484845,-0.8148148148148148,0.5723270440251573,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,rpe10_m,ed_mean_m,10,0.6969696969696969,0.01886792452830189,0.9622641509433963,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,0.5,dp_p95_m,fd_max_m,10,-0.22424242424242422,-0.7872340425531915,0.6226415094339623,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,1.0,ate_m,pct_matched,10,0.2121212121212121,-0.5541401273885351,0.8882160110420966,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,1.0,rpe10_m,pct_matched,10,0.006060606060606061,-0.8395061728395062,0.7735849056603774,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,1.0,dp_p95_m,pct_matched,10,0.28484848484848485,-0.5220125786163523,0.89937106918239,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,1.0,ate_m,ed_mean_m,10,-0.2727272727272727,-0.7735849056603774,0.4509803921568627,20000,exploratory sequence-level correlation
"Wheel-IMU EKF (planar EKF-IW, corrected)",position_xy,1.0,ate_m,fd_max_m,10,0.04242424242424241,-0.6666666666666666,0.68944099378882,20000,exploratory sequence-level correlation
